model,release_price
반스 볼트 OG 어센틱 LX 레드,89000
뉴발란스 860v2 메탈릭 실버,159000
(W) 나이키 코르테즈 블랙 앤 세일,139000
크록스 듀엣 맥스 II 클로그 스투코,82900
아디다스 스페지알 핸드볼 코어 블랙 화이트,139000
조던 1 레트로 로우 OG 쉐도우,169000
(W) 조던 1 로우 앤트러사이트 세일,139000
아식스 젤 벤쳐 6 SPS 페퍼 블랙,99000
오니츠카 타이거 멕시코 66 슬립온 옐로우 블랙,124400
아디다스 가젤 컬리지에이트 네이비,109000
아식스 젤 퀀텀 키네틱 그래파이트 그레이 블랙,299000
아식스 노바블라스트 4 블랙 그래파이트 그레이 - 2E 와이드,193600
조던 4 레트로 브레드 리이매진드,249000
(W) 나이키 덩크 로우 빈티지 블랙 앤 화이트,159000
아디다스 가젤 인도어 컬리지에이트 그린,169000
나이키 에어 줌 페가수스 40 블랙 아이언 그레이,149000
살로몬 XA 프로 3D 블랙 마그넷,207400
컨버스 척 70 로우 파치먼트,95000
아디다스 시티 마라톤 PT 베이지 네이비,119000
살로몬 XT-윙스 2 루나 락 그레이,0
아식스 윈잡 CP215 블랙,129000
나이키 x 티파니 앤 코 에어포스 1 로우 SP 1837,529000
나이키 줌 보메로 5 SP 앤트러사이트 2023,189000
아디다스 삼바 비건 화이트 블랙,139000
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,0
크록스 클래식 클로그 화이트,59900
아식스 젤 1130 화이트 샤크 스킨,109000
나이키 줌 플라이 5 엘리우드 킵초게,189000
나이키 리액트X 인피니티 런 4 화이트,221200
아식스 젤 퀀텀 키네틱 미드 그레이 퓨어 실버,299000
나이키 코르테즈 화이트 캠프파이어 오렌지,124400
아디다스 x 스포티 앤 리치 삼바 OG 클라우드 화이트 컬리지에이트 버건디,149000
(W) 킨 재스퍼 스웨이드 스니커즈 실버 밍크,159000
(W) 조던 1 로우 UNC 유니버시티 블루,119000
아식스 x 키스 GT-2160 크림 스카라브,193600
조던 3 x 제이 발빈 레트로 SP 리오,299000
아식스 GT-2160 화이트 퍼티,139000
(W) 나이키 코르테즈 빈티지 블랙 세일,0
뉴발란스 990v6 메이드 인 USA 블랙 화이트,276600
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈,219000
푸마 x 오픈 Yy 스피드캣 위스프 오브 핑크 캐모마일,159000
아식스 메타스피드 스카이 파리 선라이즈 레드 블랙,299000
(W) 호카 호파라 2 블랙,179000
클락스 왈라비 블랙 스웨이드,258000
버켄스탁 보스턴 소프트 풋베드 모카 - 레귤러,169000
(W) 나이키 코트 비전 알타 화이트,89000
살로몬 x 샌디 리앙 RX 모크 3.0 블랙 화이트,148000
뉴발란스 2002R 프리미엄 빈티지 블랙,189000
아디다스 아디폼 슈퍼스타 코어 블랙 클라우드 화이트,89000
크록스 바야 클로그 블랙,59900
아디다스 이지 부스트 350 V2 지브라 2022/2023,319000
(W) 나이키 에어 줌 알파플라이 넥스트% 3 볼트,329000
나이키 터미네이터 하이 유니버시티 레드 앤 화이트,169000
(W) 컨버스 척 테일러 올스타 리프트 로우 화이트 블랙,89900
(W) 아식스 x 에미 젤 NYC 화이트 허들 옐로우,189000
오니츠카 타이거 토쿠텐 번트 그린,0
아디다스 삼바 OG 나이트 네이비 크림 화이트,0
나이키 에어포스 1 '07 LV8 로우 트리플 레드,139000
(W) 나이키 P-6000 트리플 블랙,129000
반스 슬립온 체커보드,69100
(W) 나이키 코르테즈 TXT 소프트 옐로우 코코넛 밀크,119000
(W) 아디다스 스페지알 핸드볼 원더 실버 오프 화이트,152100
나이키 x 빌리 아일리시 에어 알파 포스 88 블랙 앤 화이트,159000
(W) 킨 샨티 펀 메를로,112600
(W) 아식스 젤 카하나 8 화이트 핑크,0
뉴발란스 530 실버 그레이,109000
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우 스니커즈 화이트,290200
크록스 에코 클로그 스투코,96800
조던 1 x 트래비스 스캇 레트로 로우 골프 NRG 뉴트럴 올리브,229000
(W) 아디다스 가젤 인도어 볼드 오렌지 클라우드 화이트,169000
아식스 노바블라스트 4 화이트,0
크록스 x 나루토 클래식 클로그 카카시,94900
(W) 조던 1 엘리베이트 로우 화이트 앤 울프 그레이,159000
오클리 엣지 아이콘 블랙아웃,276600
뉴발란스 574 헤리티지 그래스 그린,139000
(W) 나이키 P-6000 메탈릭 서밋 화이트,165900
(W) 나이키 에어 리프트 브리드 화이트,129000
조던 1 레트로 하이 OG 유니버시티 블루,199000
컨버스 원스타 프로 클래식 스웨이드 팬텀 바이올렛,99000
반스 뉴스쿨 블랙 트루 화이트,0
아디다스 아딜렛 클로그 올모스트 핑크,69100
나이키 x 슈프림 에어포스 1 로우 바로크 브라운,171500
아디다스 아디폼 슈퍼스타 뮬 코어 블랙,0
조던 1 레트로 하이 OG 옐로우 오커,219000
나이키 코르테즈 미드나잇 네이비,119000
뉴발란스 574 레거시 그레이,149000
(W) 골든구스 슈퍼스타 화이트 실버탭 스니커즈,665000
아식스 x 니들스 젤 NYC 블랙 퍼플,249000
조던 1 x 트로피 룸 레트로 로우 OG SP 세일 바시티 레드,169000
(W) 아디다스 가젤 볼드 트루 핑크 그린,139000
아디다스 스페지알 핸드볼 쉐도우 브라운 화이트,135400
아디다스 이지 부스트 350 V2 카본 벨루가,319000
리복 클럽씨 85 빈티지 레트로 화이트,109000
나이키 에어맥스 97 OG 실버불렛 2022,219000
버켄스탁 애리조나 에센셜 에바 블랙 - 레귤러,59000
뉴발란스 996 그레이,139000
(W) 나이키 P-6000 레이저 블루,138300
아식스 x 키코 코스타디노브 젤 퀀텀 지엔치아 화이트 블루,389000
나이키 코르테즈 바시티 레드 화이트 & 블루,139000
(W) 아디다스 삼바 OG 클라우드 화이트 실버 그린,138300
(W) 조던 1 로우 듄 레드 블루 그레이,195200
나이키 줌X 베이퍼플라이 넥스트% 3 프로토타입 화이트,345700
(W) 나이키 코르테즈 미드나잇 네이비,119000
오니츠카 타이거 멕시코 66 SD 크림 버치,200000
조던 1 미드 라이트 스모크 그레이 앤트러사이트,149000
뉴발란스 991 메이드 인 UK 그레이,259000
나이키 x 꼼데가르송 옴므 플러스 ACG 마운틴 플라이 2 로우 블랙 화이트,450000
나이키 에어 줌 알파플라이 넥스트% 2 엘리우드 킵초게,380300
나이키 리액트X 인피니티 런 4 화이트 라이트 레몬 트위스트,221200
나이키 에어 베이퍼맥스 2023 플라이니트 퓨어 플래티넘,290400
(W) 에르메스 오란 샌들 카프스킨 & 누아 피케르 에크루즈,871300
나이키 줌 머큐리얼 베이퍼 15 프로 TF 하이퍼 터콰이즈 푸시아 드림,139000
아디다스 이지 슬라이드 아주르,99000
푸마 스피드캣 LS 블랙 화이트,139000
아디다스 스페지알 핸드볼 오프 화이트 실버 그린,139000
살로몬 RX 모크 3.0 바닐라 아이스,0
나이키 프리미어 3 TF 블랙 화이트,142600
나이키 x 마틴 로즈 샥스 MR4 블랙,239000
아디다스 가젤 컬리지에이트 버건디,132100
조던 1 로우 골프 울프 그레이,179000
아디다스 삼바 OG 카드보드 초크 화이트,139000
뉴발란스 x JJJ자운드 2002R 고어텍스 차콜,262700
아디다스 x 키스 스페지알 핸드볼 아마존 그린,152100
(W) 나이키 코트 비전 로우 화이트 팀 레드,89000
킨 재스퍼 락스 SP 스니커즈 베이지,179000
나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,129000
(W) 나이키 샥스 TL 블랙 앤 맥스 오렌지,209000
뉴발란스 860v2 블랙 그레이,159000
아디다스 x 웨일스 보너 포니 토널 삼바 크림 화이트 미스테리 브라운,259000
아식스 젤 벤쳐 6 화이트 블랙,99000
크록스 바야밴드 클로그 윈터 화이트 멀티,74900
(W) 헌터 오리지널 톨 레인 부츠 블랙,242000
호카 오라 리커버리 플립 블랙,79000
크록스 스톰프 클로그 블랙,0
나이키 킬샷 2 레더 세일 오일 그레이 검,124400
(W) 아디다스 가젤 밸런타인데이 퍼티 모브 아이보리 - 풋락커 한정,129000
살로몬 RX 메리 제인 바닐라 아이스,190000
(W) 아디다스 아디폼 슈퍼스타 부츠 블랙,129000
(W) 나이키 에어포스 1 '07 LX 게임 로얄 세일,152100
아디다스 슈퍼스타 82 화이트 알루미늄,165900
아식스 젤 1130 화이트 샤크 스킨,109000
조던 1 미드 라이트 스모크 그레이,159000
푸마 팔레르모 블랙 화이트,119000
(W) 나이키 코르테즈 화이트 레드 스타더스트,119000
(W) 킨 재스퍼 락스 SP 스니커즈 베이지,179000
아디다스 x 송 포 더 뮤트 컨트리 OG 코어 블랙 코어 화이트,179000
나이키 에어포스 1 '07 LX 오일 그린,159000
나이키 캄 슬라이드 블랙,69100
(W) 아디다스 가젤 볼드 그레이 클라우드 화이트,139000
(W) 호카 호파라 2 블랙,179000
나이키 줌 보메로 5 SP 블랙,189000
나이키 P-6000 플랫 퓨터 라이트 아이언 오어,139000
(키즈) 뉴발란스 프리들 920 샌들 그레이,89000
아식스 x 언어펙티드 젤 카야노 14 실버 문,229000
크록스 x 살레헤 벰버리 폴렉스 클로그 오르차타,119000
메종 미하라 야스히로 블레이키 OG 솔 캔버스 로우탑 스니커즈 블랙 화이트,307700
아디다스 삼바 OG 프리러브 브라운 원더 화이트,179000
오클리 팩토리 팀 x 브레인 데드 찹 쏘우 뮬 노마드,219900
나이키 덩크 로우 쿨 그레이 화이트,192700
아디다스 삼바 ADV 블랙,109000
아디다스 가젤 인도어 세미 블루 버스트 올모스트 옐로우,164900
(W) 나이키 코르테즈 애슬레틱 디파트먼트 페일 아이보리 딥 로얄 블루,0
아식스 젤 1130 와일드 도브 화이트 - 폴더 한정,109000
(W) 호카 호파라 블랙,0
살로몬 RX 모크 3.0 퓨터 데저트,134300
컨버스 x 다크쉐도우 터보웨폰 블랙 크림,249000
아디다스 가젤 코어 블랙 화이트,129000
호카 오라 리커버리 뮬 블랙,109000
(W) 아디다스 가젤 볼드 원더 쿼츠 코어 블랙,164900
나이키 에어포스 1 '07 화이트 유니버시티 블루,151200
메종 마르지엘라 카프스킨 레플리카 스니커즈,680500
나이키 에어 줌 스피리돈 케이지 2 트리플 화이트,169000
아식스 젤 님버스 9 크림 블랙,189000
컨버스 x 아더에러 척 70 하이 화이트,129000
아디다스 가젤 컬리지에이트 버건디,131400
(W) 나이키 덩크 로우 로즈 위스퍼,139000
(GS) 나이키 코트 버로우 로우 2 트리플 화이트,75600
(W) 아식스 x 스나이델 젤 1090 V2 실버,125000
휠라 인터런 핑크 블라썸,99000
나이키 x 트래비스 스캇 맥 어택 SP 라이트 스모크 그레이,159000
나이키 줌 머큐리얼 베이퍼 15 프로 TF 브라이트 크림슨 화이트,139000
버켄스탁 A630 클로그 블랙,82400
아디다스 x 스포티 앤 리치 스페지알 핸드볼 팬톤 코어 화이트,149000
호카 호파라 2 쉬프팅 샌드,179000
뉴발란스 991v2 메이드 인 UK 락 릿지 알로이 실버,309000
나이키 P-6000 프리미엄 한글날 포톤 더스트 카키,129000
살로몬 RX 슬라이드 3.0 아몬드 밀크 알로에 워시,119300
아디다스 슈퍼스타 트리플 블랙,109000
나이키 에어포스 1 미드 '07 WB 플랙스,179000
조던 1 x 트래비스 스캇 레트로 하이 OG SP 모카,239000
조던 1 레트로 하이 스파이더맨 넥스트 챕터,239000
(W) 버켄스탁 보스턴 소프트 풋베드 스웨이드 레더 핑크 클레이 - 내로우,217200
아디다스 아딜렛 22 그레이 파이브,0
(W) 헌터 플레이 쇼트 레인 부츠 징크 그레이,134700
조던 1 로우 OG 스타피쉬,159000
나이키 줌X 인빈시블 런 플라이니트 3 화이트 포톤더스트,247400
우포스 x 타카히로미야시타 더 솔로이스트 더 데이 더 홀 월드 웬 어웨이 플립-플랍 블랙,95200
아디다스 x 아트모스 아디매틱 화이트 블랙,139000
푸마 스피드캣 OG 스파르코 블랙 화이트,139000
(W) 킨 하이퍼포트 H2 샌들 버치 플라자 토프,164900
(W) 아디다스 가젤 볼드 그린 클라우드 화이트,139000
나이키 에어포스 1 '07 프레쉬 포톤 더스트,169000
(W) 나이키 덩크 로우 레트로 프리미엄 팀 레드 앤 화이트,139000
조던 4 x 나이키 SB 레트로 파인 그린,269000
나이키 에어 쿠키니 라탄 앤 파티클 그레이,159000
(W) 나이키 에어맥스 97 넥스트 네이쳐 화이트,233700
나이키 코비 8 프로트로 베니스 비치,219000
(GS) 나이키 코트 버로우 로우 리크래프트 화이트 핑크 폼,0
나이키 에어포스 1 미드 '07 컬러 오브 더 먼스 서밋 화이트,189000
아식스 젤 소노마 15-50 블랙 옵시디언 그레이,109000
(W) 조던 1 로우 화이트 아이스 블루,129000
뉴발란스 530 블랙,0
살로몬 ACS 프로 메탈 고스트,0
나이키 에어 모어 업템포 슬라이드 블랙 화이트,99000
나이키 덩크 로우 레트로 팀 레드,139000
뉴발란스 990v6 메이드 인 USA 그레이 - D 스탠다드,289000
닥터마틴 1461 스무스 블랙,210000
나이키 SB 덩크 로우 프로 블랙 앤 클래식 그린,149000
살로몬 XT-윙스 2 ADV 블랙,182700
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,219000
아디다스 x 송 포 더 뮤트 컨트리 OG 그레이 투 코어 블랙,179000
나이키 줌 보메로 5 SE 라이트 오어우드 브라운,209000
살로몬 XT-4 블랙 실버 메탈릭,302400
뉴발란스 2002R 프리미엄 빈티지 블랙,189000
아디다스 이지 부스트 350 V2 오닉스,319000
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우탑 스니커즈 내츄럴,288500
아식스 젤 벤쳐 6 SPS 글레이셔 그레이,89000
조던 1 로우 골프 울프 그레이,179000
나이키 코르테즈 화이트 블랙,123700
나이키 줌X 베이퍼플라이 넥스트% 3 하이퍼 핑크,411800
컨버스 x 스투시 척 70 하이 플루메리아,129000
에르메스 바운싱 스니커즈 카프스킨 스웨이드 고트스킨 & 블랑,0
아디다스 이지 슬라이드 퓨어 - 재발매 버전,99000
(W) 에르메스 아일랜드 샌들 & 누아,550000
살로몬 x 꼼데가르송 슬립 온 플랫폼 블랙,494900
아디다스 SL 72 RS 블루 코어 화이트,159600
메종 미하라 야스히로 피터슨23 OG 솔 캔버스 로우탑 스니커즈 블랙,307700
나이키 에어 줌 페가수스 40 엘리우드 킵초게,149000
아식스 조그 100 S 화이트 그린 - 2E 와이드,69000
뉴발란스 1906R 실버 그린,169000
나이키 x 스투시 에어맥스 2013 파슬,249000
아디다스 이지 부스트 350 V2 지브라 2017/2019/2020,289000
온 러닝 x 포스트 아카이브 팩션 (파프) 클라우드몬스터 2 문더스트 초크,279000
(W) 호카 호파라 2 쉬프팅 샌드,179000
(W) 나이키 P-6000 코코넛 밀크 메탈릭 실버,151200
나이키 줌X 스트릭플라이 화이트 클리어 제이드,189000
아식스 x 언어펙티드 젤 카야노 14 갤럭시 화이트,229000
